district,season,jobType,jobsCompleted,experienceYears,isMultiTalented,seasonalDemandScore
Virar,Summer,Masonry,104,13,1,1.8926598262113665
Virar,Monsoon,Electrician,315,8,0,6.218841136812319
Virar,Monsoon,Plumber,112,8,0,9.557405794033395
Virar,Monsoon,Carpenter,391,9,1,1.8014166017222646
Virar,Monsoon,Painter,276,10,1,1.950039608443156
Virar,Monsoon,Appliance Technician,330,8,0,1.830569169721415
Virar,Monsoon,House Cleaner,293,8,1,1.743655442159585
Virar,Monsoon,Driver,376,5,1,1.7517767865005114
Virar,Monsoon,Cook,190,8,0,1.6267484369817813
Virar,Monsoon,Mechanic,170,5,1,1.7135448626110565
Virar,Monsoon,Masonry,326,2,0,5.319709568418762
Virar,Winter,Electrician,246,12,0,1.1508306580130867
Virar,Winter,Plumber,82,7,1,1.7064191416945522
Virar,Winter,Carpenter,288,7,0,1.3308813910380834
Virar,Winter,Painter,265,7,0,1.2068343895144102
Virar,Winter,Appliance Technician,344,7,1,1.8567320323039342
Virar,Winter,House Cleaner,230,5,1,1.005896083583993
Virar,Winter,Driver,264,9,0,4.853447950569104
Virar,Winter,Cook,189,7,1,5.4882294775502505
Virar,Winter,Mechanic,222,11,1,1.0290248199467151
Virar,Winter,Masonry,289,15,0,1.7241813776272887
Virar,Festival,Electrician,323,1,1,1.980721977518923
Virar,Festival,Plumber,389,1,0,1.5918927756279109
Virar,Festival,Carpenter,119,14,1,6.642749648009335
Virar,Festival,Painter,183,7,1,8.181729026513432
Virar,Festival,Appliance Technician,217,6,1,1.2116602842114816
Virar,Festival,House Cleaner,265,5,0,5.278256615638806
Virar,Festival,Driver,326,1,1,1.470306836213047
Virar,Festival,Cook,85,13,0,1.2242221657197483
Virar,Festival,Mechanic,176,4,0,1.7542332040595263
Virar,Festival,Masonry,172,3,1,1.6213356565861579
