district,season,jobType,jobsCompleted,experienceYears,isMultiTalented,seasonalDemandScore
Thane,Winter,Appliance Technician,254,6,1,2.320066365497258
Thane,Winter,House Cleaner,192,6,1,2.728705884060573
Thane,Winter,Driver,324,6,0,10.359036236720527
Thane,Winter,Cook,183,3,1,11.230683503702855
Thane,Winter,Mechanic,355,7,1,1.0765143947065254
Thane,Winter,Masonry,210,7,0,2.4570901213054084
Thane,Festival,Electrician,345,4,1,1.7703908666894543
Thane,Festival,Plumber,273,1,0,1.0887730674264622
Thane,Festival,Carpenter,85,11,1,13.728442943562529
Thane,Festival,Painter,389,14,0,18.24631081989282
Thane,Festival,Appliance Technician,203,9,1,2.4395085260279004
Thane,Festival,House Cleaner,217,7,1,12.33378580821146
Thane,Festival,Driver,148,7,1,2.1088249553335876
Thane,Festival,Cook,139,10,1,2.354635890545466
Thane,Festival,Mechanic,50,5,1,1.8121503375163257
Thane,Festival,Masonry,346,10,1,1.4203653697652838
Virar,Summer,Electrician,276,11,0,13.929976380494029
Virar,Summer,Plumber,136,11,0,2.0223479937491744
Virar,Summer,Carpenter,389,11,1,1.5675728099860549
Virar,Summer,Painter,170,11,1,1.1867744001511253
Virar,Summer,Appliance Technician,151,3,0,16.449281331994577
Virar,Summer,House Cleaner,293,10,0,1.0924274361855169
Virar,Summer,Driver,372,10,0,1.9108323367601783
Virar,Summer,Cook,246,8,1,2.4366918309979773
Virar,Summer,Mechanic,385,12,0,1.4879688791568777
Virar,Summer,Masonry,104,13,1,2.785319652422733
Virar,Monsoon,Electrician,315,8,0,11.437682273624638
Virar,Monsoon,Plumber,112,8,0,20.11481158806679
Virar,Monsoon,Carpenter,391,9,1,2.602833203444529
Virar,Monsoon,Painter,276,10,1,2.900079216886312
Virar,Monsoon,Appliance Technician,330,8,0,2.66113833944283
Virar,Monsoon,House Cleaner,293,8,1,2.48731088431917
Virar,Monsoon,Driver,376,5,1,2.5035535730010228
Virar,Monsoon,Cook,190,8,0,2.2534968739635626
Virar,Monsoon,Mechanic,170,5,1,2.427089725222113
Virar,Monsoon,Masonry,326,2,0,9.639419136837525
Virar,Winter,Electrician,246,12,0,1.3016613160261732
Virar,Winter,Plumber,82,7,1,2.4128382833891044
Virar,Winter,Carpenter,288,7,0,1.6617627820761671
Virar,Winter,Painter,265,7,0,1.4136687790288205
Virar,Winter,Appliance Technician,344,7,1,2.7134640646078685
Virar,Winter,House Cleaner,230,5,1,1.0117921671679861
Virar,Winter,Driver,264,9,0,10.706895901138209
Virar,Winter,Cook,189,7,1,11.976458955100501
Virar,Winter,Mechanic,222,11,1,1.0580496398934305
Virar,Winter,Masonry,289,15,0,2.4483627552545775
Virar,Festival,Electrician,323,1,1,2.961443955037846
Virar,Festival,Plumber,389,1,0,2.1837855512558217
Virar,Festival,Carpenter,119,14,1,14.28549929601867
Virar,Festival,Painter,183,7,1,17.363458053026864
Virar,Festival,Appliance Technician,217,6,1,1.423320568422963
Virar,Festival,House Cleaner,265,5,0,11.556513231277613
Virar,Festival,Driver,326,1,1,1.9406136724260938
Virar,Festival,Cook,85,13,0,1.4484443314394964
Virar,Festival,Mechanic,176,4,0,2.5084664081190526
Virar,Festival,Masonry,172,3,1,2.2426713131723157
